LOC	Chromosome	Start	End	gene.features.locus	Genes	S1	S2	S8	S9	S11	S4	S5	S6	S7	S10	S12	V7
XLOC_000051	chr1	2976180	3355185	chr1:2976180-3355185	MIR4251	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000052	chr1	3371146	3397677	chr1:3371146-3397677	ARHGEF16	0	0.0223946	0	0	0	0.0251812	0.02079	0	0	0	0	+
XLOC_000053	chr1	3541555	3547001	chr1:3541555-3547001	TPRG1L	42.4235	13.3485	30.327	12.8796	13.2876	18.1145	33.1436	14.2346	18.0083	11.0326	11.7605	+
XLOC_000054	chr1	3569128	3663937	chr1:3569128-3663937	TP73	0.711318	0.188245	0.180022	0.246875	0.165994	0.388796	1.52131	2.68524	0.66659	0.318071	0.944511	+
XLOC_000055	chr1	3668964	3688209	chr1:3668964-3688209	CCDC27	0	0	0	0	0	0.0155363	0	0	0	0	0	+
XLOC_000056	chr1	3689292	3694074	chr1:3689292-3694074	SMIM1	0.137084	1.65305	39.9703	0.413526	0.279982	0.663087	2.25958	1.08818	0.587154	0.695737	1.00281	+
XLOC_000057	chr1	3773830	3802543	chr1:3773830-3802543	DFFB	2.43835	3.64805	3.18008	4.10286	2.54561	2.78037	3.26164	1.02378	4.73168	4.49022	3.88707	+
XLOC_000058	chr1	3816967	3832769	chr1:3816967-3832769	LINC01134	0.148165	0.143792	0.0642034	0.740729	0.240952	0.0230194	0.0581202	0.225826	0.0750708	0.281484	0.0518328	+
XLOC_000059	chr1	4000671	4012643	chr1:4000671-4012643	LINC01346	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000060	chr1	4472110	4484744	chr1:4472110-4484744	LOC284661	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000061	chr1	4663768	4669067	chr1:4663768-4669067	NA	0.498004	0	2.40666	0	0	0.351358	0.404304	0	0.173837	0	0	+
XLOC_000062	chr1	4715104	4843851	chr1:4715104-4843851	AJAP1	0	0.123076	0	0	0	0.0302715	0	0	0	0	0	+
XLOC_000063	chr1	5624130	5624203	chr1:5624130-5624203	MIR4417	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000064	chr1	5922731	6161624	chr1:5922731-6161624	KCNAB2	22.729	20.1278	47.0322	13.3312	16.839	28.8496	29.1641	33.1151	21.7991	17.5014	16.1482	+
XLOC_000065	chr1	6266188	6296045	chr1:6266188-6296045	RNF207	0.100323	0.556031	0	0.264546	0.246921	0.217408	0.0369146	0.362519	0.177924	0.150002	0.064623	+
XLOC_000066	chr1	6296299	6299502	chr1:6296299-6299502	LINC00337	0	0	0	0.0585739	0.0710616	0.0508409	0.229816	0	0	0.0954057	0	+
XLOC_000067	chr1	6304251	6305638	chr1:6304251-6305638	HES3	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000068	chr1	6484847	6580121	chr1:6484847-6580121	ESPN	0	0	7.42047	0.0294724	0	0.0116127	0.0542783	0.104367	0	0.0410837	0	+
XLOC_000069	chr1	6615337	6639817	chr1:6615337-6639817	TAS1R1	0	0.136988	0	0	0.198947	0.04894	0	0	0	0.188947	0.268044	+
XLOC_000070	chr1	6639884	6673508	chr1:6639884-6673508	ZBTB48	9.91247	6.25346	7.45503	5.61734	12.7305	8.26526	9.86573	8.79427	10.8351	7.63183	15.3949	+
XLOC_000071	chr1	6673755	6684093	chr1:6673755-6684093	PHF13	8.33063	4.71269	5.05276	2.87631	3.01593	4.86826	6.70208	4.43188	6.10968	4.94719	4.87973	+
XLOC_000072	chr1	6684924	6761966	chr1:6684924-6761966	THAP3	15.4448	2.09481	8.72147	1.75512	1.61958	3.02621	10.7904	1.29843	3.58183	2.89711	2.01481	+
XLOC_000073	chr1	6784804	6790072	chr1:6784804-6790072	LOC100505887	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000074	chr1	6845367	7829766	chr1:6845367-7829766	CAMTA1	40.7346	8.71681	22.1016	11.2367	22.2147	16.8231	23.6131	9.20829	25.9955	16.2265	16.5335	+
XLOC_000075	chr1	7831328	7841641	chr1:7831328-7841641	VAMP3	39.7772	15.2171	53.9391	9.28341	8.77023	25.6146	43.1581	11.7345	21.3349	13.2821	12.4831	+
XLOC_000076	chr1	7844331	7973637	chr1:7844331-7973637	PER3	0.289122	2.65446	1.65794	2.26316	4.58489	2.57543	0.676045	3.40841	0.872515	5.99433	2.18777	+
XLOC_000077	chr1	8021713	8045342	chr1:8021713-8045342	PARK7	296.011	35.9821	175.446	43.971	68.0746	84.8119	214.802	44.4923	115.394	55.9967	47.0347	+
XLOC_000078	chr1	8268731	8275268	chr1:8268731-8275268	LOC102724539	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000079	chr1	8378144	8404227	chr1:8378144-8404227	SLC45A1	0	0.0342888	0.0479096	0	0.0669506	0.0177359	0.180073	0	0.0677723	0	0.139937	+
XLOC_000080	chr1	8412319	8877780	chr1:8412319-8877780	RERE	0.0806159	4.49284	0.0211343	2.79183	3.58547	0.220219	0.0614368	2.14028	0.096748	2.41976	3.53792	+
XLOC_000081	chr1	8412319	8877780	chr1:8412319-8877780	LOC102724552	0	0.849068	0.375113	0.648541	0.479919	0.713735	0	0	0.512653	0	2.14633	+
XLOC_000082	chr1	8921058	8942162	chr1:8921058-8942162	ENO1-AS1	1.3534	1.0877	0	0.191979	0.032743	0.233104	1.0814	0.799159	0.245008	0.334565	0.734203	+
XLOC_000083	chr1	9005892	9035148	chr1:9005892-9035148	CA6	0	0	0.162086	0.356476	0	0.0439152	0.0816765	0	0.116013	0	0	+
XLOC_000084	chr1	9294760	9331676	chr1:9294760-9331676	H6PD	3.28328	9.60884	9.20105	9.49848	9.02089	9.2607	3.96224	6.47924	8.27356	11.8199	8.69825	+
XLOC_000085	chr1	9352940	9429590	chr1:9352940-9429590	SPSB1	0.478382	0.23789	0.866608	0.0917401	0	0.166083	0.996418	0.692778	0.264964	0.119827	0	+
XLOC_000086	chr1	9599480	9645548	chr1:9599480-9645548	SLC25A33	5.6917	3.06931	6.90601	2.53616	4.48476	5.51136	5.32712	6.73489	5.4127	3.40141	4.85724	+
XLOC_000087	chr1	9648822	9676149	chr1:9648822-9676149	TMEM201	0.68835	1.96453	2.42839	1.29589	3.54571	1.88439	0.787853	3.07202	3.14023	1.00228	2.53099	+
XLOC_000088	chr1	9687227	9884584	chr1:9687227-9884584	PIK3CD	17.5264	24.323	35.8984	19.0157	20.3116	41.4032	29.5019	19.4854	33.3781	18.9573	24.3035	+
XLOC_000089	chr1	9982230	10048598	chr1:9982230-10048598	NMNAT1	4.0035	1.65261	2.5234	1.55621	0.832984	1.16157	4.56608	1.01884	1.52973	2.63138	1.97547	+
XLOC_000090	chr1	9982230	10048598	chr1:9982230-10048598	MIR5697	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000091	chr1	10057254	10076078	chr1:10057254-10076078	RBP7	6.97168	7.13465	10.8451	0	0	8.1923	13.3719	1.0573	4.80951	0	0.344063	+
XLOC_000092	chr1	10092876	10241313	chr1:10092876-10241313	UBE4B	9.43926	13.1066	9.93709	13.492	16.1724	13.3534	8.4211	12.8904	11.7083	13.5122	15.6743	+
XLOC_000093	chr1	10270566	10441978	chr1:10270566-10441978	KIF1B	2.01279	4.25353	4.46253	1.63936	3.39939	2.76753	2.99576	4.24336	3.16661	4.31661	3.60068	+
XLOC_000094	chr1	10270566	10441978	chr1:10270566-10441978	RNU6-2	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000095	chr1	10459048	10480568	chr1:10459048-10480568	PGD	86.213	18.3282	278.522	12.2336	8.23424	23.8982	69.5838	8.45555	24.1636	8.49952	7.54073	+
XLOC_000096	chr1	10490158	10512417	chr1:10490158-10512417	APITD1,APITD1-CORT,CORT	2.49376	1.16514	3.82216	1.48228	0.656533	1.19175	1.28296	0.633448	2.16331	2.04836	1.59986	+
XLOC_000097	chr1	10534911	10693688	chr1:10534911-10693688	PEX14	9.13255	4.33108	6.12677	5.36514	8.41727	6.43794	9.70134	10.2856	5.47853	5.99909	8.35792	+
XLOC_000098	chr1	11072070	11107296	chr1:11072070-11107296	TARDBP	26.0701	54.0519	31.257	55.8396	35.4931	72.92	34.7785	38.4745	41.9728	50.2654	33.0038	+
XLOC_000099	chr1	11166587	11322608	chr1:11166587-11322608	MTOR-AS1	0	0.191637	0.205422	0	0	0.0909313	0	0.679449	0.317555	0.210284	0	+
XLOC_000100	chr1	11166587	11322608	chr1:11166587-11322608	ANGPTL7	0	0.24153	0	0.257424	0.764366	0.0287071	0	0.703575	0	0.124614	0.67866	+
XLOC_000101	chr1	11333227	11432887	chr1:11333227-11432887	UBIAD1	15.612	6.4774	8.55433	6.17382	8.49442	6.6637	16.4104	8.32855	7.30679	12.0419	10.3205	+
XLOC_000102	chr1	11539294	11597640	chr1:11539294-11597640	PTCHD2	0	0.0788312	0	0	0.217183	0.182382	0.0140474	0.0517048	0.0479427	0.0454797	0.0960101	+
XLOC_000103	chr1	11669587	11673411	chr1:11669587-11673411	LOC101929181	0	0	0	0	0	0	0	0	0.0434559	0	0	+
XLOC_000104	chr1	11708417	11723606	chr1:11708417-11723606	FBXO44	14.6131	5.98503	4.84324	5.38739	9.30446	12.0033	6.68002	5.79875	9.04933	7.41641	12.799	+
XLOC_000105	chr1	11724149	11751678	chr1:11724149-11751678	FBXO6	33.9197	3.06972	14.8431	4.11692	3.28091	3.97616	16.8239	1.59249	8.6259	3.66205	3.7838	+
XLOC_000106	chr1	11751780	11780336	chr1:11751780-11780336	DRAXIN	0.267893	0.32051	0.0593051	0.157098	0	0.17176	0.142887	0.0644577	0.200612	0.42985	0	+
XLOC_000107	chr1	11795879	11814823	chr1:11795879-11814823	AGTRAP	57.8251	9.19436	158.183	2.25776	2.72548	17.1867	46.7556	3.44157	13.0001	3.85307	4.52736	+
XLOC_000108	chr1	11822249	11912145	chr1:11822249-11912145	C1orf167	0	0	0	0	0	0.021645	0	0	0	0	0	+
XLOC_000109	chr1	11822249	11912145	chr1:11822249-11912145	CLCN6,NPPA-AS1	3.78876	10.5361	2.86923	9.66669	13.5443	16.0399	2.53898	9.56165	11.7317	11.5024	8.595	+
XLOC_000110	chr1	11994723	12035599	chr1:11994723-12035599	PLOD1	10.3325	3.06984	17.4331	1.17803	1.27647	3.68937	9.4139	1.65653	4.38301	1.31179	0.447054	+
XLOC_000111	chr1	12040091	12073854	chr1:12040091-12073854	MFN2	18.49	9.54022	31.8877	10.4814	8.69604	15.6857	20.2299	12.1029	13.6719	10.2399	9.63254	+
XLOC_000112	chr1	12079298	12092106	chr1:12079298-12092106	MIIP	22.9656	10.0614	38.2787	11.1474	16.8925	17.5962	20.5133	11.0021	14.0067	12.9208	22.2189	+
XLOC_000113	chr1	12079298	12092106	chr1:12079298-12092106	MIR6729	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000114	chr1	12123433	12204767	chr1:12123433-12204767	TNFRSF8	6.30131	0.490173	0.949016	0.190461	0	0.542957	1.58848	1.45967	0.34702	0.254083	0.387234	+
XLOC_000115	chr1	12226367	12277997	chr1:12226367-12277997	MIR7846,TNFRSF1B	294.296	54.1028	64.8107	30.808	39.4697	75.4112	211.126	164.172	62.2634	47.1089	67.5445	+
XLOC_000116	chr1	12226367	12277997	chr1:12226367-12277997	MIR4632	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000117	chr1	12290069	12572098	chr1:12290069-12572098	SNORA59A,VPS13D	3.17835	9.0234	3.3056	10.4253	9.84009	7.27103	3.04606	12.9726	6.2274	11.3494	9.39729	+
XLOC_000118	chr1	12704565	12727097	chr1:12704565-12727097	AADACL4	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000119	chr1	12776117	12788726	chr1:12776117-12788726	AADACL3	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000120	chr1	12806133	12821102	chr1:12806133-12821102	C1orf158	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000121	chr1	12834990	12838048	chr1:12834990-12838048	PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000122	chr1	12851545	12856777	chr1:12851545-12856777	PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000123	chr1	12916940	12921764	chr1:12916940-12921764	PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000124	chr1	12976466	12980300	chr1:12976466-12980300	PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000125	chr1	13035498	13039011	chr1:13035498-13039011	LOC391003	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000126	chr1	13194517	13199727	chr1:13194517-13199727	LOC645354	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000127	chr1	13328195	13698405	chr1:13328195-13698405	LOC101929983,PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000128	chr1	13328195	13698405	chr1:13328195-13698405	PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000129	chr1	13328195	13698405	chr1:13328195-13698405	LOC101929983,PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000130	chr1	13328195	13698405	chr1:13328195-13698405	PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000131	chr1	13328195	13698405	chr1:13328195-13698405	PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000132	chr1	13328195	13698405	chr1:13328195-13698405	PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000133	chr1	13328195	13698405	chr1:13328195-13698405	LOC101929983,PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000134	chr1	13716091	13719089	chr1:13716091-13719089	PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000135	chr1	13736906	13747803	chr1:13736906-13747803	PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000136	chr1	13910251	13944452	chr1:13910251-13944452	PDPN	2.41949	0.494731	0.0874363	1.11328	0.196297	0.0183781	0.106461	0	0.127971	0.0355386	0.0452937	+
XLOC_000137	chr1	14022458	14153717	chr1:14022458-14153717	PRDM2	14.0901	65.6235	16.2567	56.0075	131.448	71.2004	17.5417	118.696	53.4785	46.7653	81.3428	+
XLOC_000138	chr1	14925212	15478960	chr1:14925212-15478960	KAZN	0.0387196	0.728982	0.511166	0	0	0.0366454	0	0.0685596	0.0716414	0	0	+
XLOC_000139	chr1	15479027	15546974	chr1:15479027-15546974	TMEM51	0.206154	0.0369008	0.680015	0	0	0.213784	0.630849	0.0625297	0.066529	0	0	+
XLOC_000140	chr1	15573767	15724622	chr1:15573767-15724622	FHAD1	0.01908	0.0277031	0	0	0	0.0512397	0.0586379	0	0.0407086	0.0102636	0	+
XLOC_000141	chr1	15736390	15756839	chr1:15736390-15756839	EFHD2	64.738	50.8906	107.726	20.1533	26.1015	71.1286	64.2427	55.7998	54.1593	19.2311	18.381	+
XLOC_000142	chr1	15764937	15773153	chr1:15764937-15773153	CTRC	0	0.111499	0	0	0	0.412083	0	0.181335	0.0978906	0	0	+
XLOC_000143	chr1	15783222	15798586	chr1:15783222-15798586	CELA2A	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000144	chr1	15802595	15851285	chr1:15802595-15851285	CELA2B	0	0	0	0	0	0.0550173	0	0	0	0	0	+
XLOC_000145	chr1	15853307	15911605	chr1:15853307-15911605	DNAJC16	2.93285	6.03997	2.72787	9.79188	6.85616	5.78828	3.08715	4.11746	5.90568	8.54201	5.83132	+
XLOC_000146	chr1	15943923	15996088	chr1:15943923-15996088	DDI2,RSC1A1	3.74864	10.1561	6.20596	12.671	10.4624	6.29302	7.0177	9.85394	7.59218	12.0571	11.0841	+
XLOC_000147	chr1	16010647	16067887	chr1:16010647-16067887	PLEKHM2,SLC25A34	22.4139	16.4019	18.9195	17.3249	23.0758	21.1552	13.2585	27.3456	26.2686	13.0612	21.5881	+
XLOC_000148	chr1	16068986	16074292	chr1:16068986-16074292	TMEM82	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000149	chr1	16085254	16113084	chr1:16085254-16113084	FBLIM1	0.17903	0.220468	0	0.0310644	0.428511	0.0146618	0	0	0.0503298	0.0960437	0.138422	+
XLOC_000150	chr1	16160709	16302735	chr1:16160709-16302735	SPEN	2.86631	23.8021	7.03853	21.7789	50.561	16.9427	3.7655	26.0834	38.8773	22.5261	23.2886	+
XLOC_000151	chr1	16160709	16302735	chr1:16160709-16302735	MIR5096	0	996.91	0	0	0	0	0	2639.13	0	0	1663.84	+
XLOC_000152	chr1	16330730	16333190	chr1:16330730-16333190	C1orf64	0	0	0	0	0	0.0526043	0	0	0	0	0	+
XLOC_000153	chr1	16348485	16360545	chr1:16348485-16360545	CLCNKA	0	0.0668944	0	0.0411858	0.392253	0.192417	0	0	0.149998	0.0313588	0.177821	+
XLOC_000154	chr1	16370230	16383821	chr1:16370230-16383821	CLCNKB	0	0	0.0469325	0	0	0	0	0	0.0334528	0	0	+
XLOC_000155	chr1	16693524	16724643	chr1:16693524-16724643	SZRD1	101.288	20.5488	56.7212	22.0345	28.5591	43.9554	62.9784	22.8728	48.4235	22.9971	24.3634	+
XLOC_000156	chr1	16767071	16825744	chr1:16767071-16825744	NECAP2	102.173	13.3936	42.3927	16.4575	13.3022	17.5545	73.0804	9.77985	23.1773	17.054	16.178	+
XLOC_000157	chr1	16865218	16866530	chr1:16865218-16866530	FAM231B	0	0.0977624	0	0	0	0.0303941	0.168008	0.0818649	0.0423762	0.561905	0	+
XLOC_000158	chr1	16875408	16875482	chr1:16875408-16875482	MIR3675	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000159	chr1	16943615	16977016	chr1:16943615-16977016	MST1P2	0	1.76506	0.173761	0.683233	0.810612	1.96281	0.164476	0.819877	1.23584	1.37128	0.446322	+
XLOC_000160	chr1	16999497	17000152	chr1:16999497-17000152	FAM231C	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000161	chr1	17007749	17007823	chr1:17007749-17007823	MIR3675	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000162	chr1	17240565	17308081	chr1:17240565-17308081	CROCC	1.54745	4.63346	1.61618	3.59944	5.52194	6.15524	1.23692	2.57112	6.26892	5.82038	6.69254	+
XLOC_000163	chr1	17531620	17572501	chr1:17531620-17572501	PADI1	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000164	chr1	17575592	17610727	chr1:17575592-17610727	PADI3	0	0	0	0	0	0	0.0233226	0	0	0	0	+
XLOC_000165	chr1	17575592	17610727	chr1:17575592-17610727	MIR3972	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000166	chr1	17634682	17690495	chr1:17634682-17690495	PADI4	4.99704	3.23296	181.943	0.538803	0	2.94445	7.09223	0.523003	3.20469	0.322455	0	+
XLOC_000167	chr1	17698690	17728195	chr1:17698690-17728195	PADI6	0	0.0558393	0	0	0	0	0	0	0.0241285	0	0	+
XLOC_000168	chr1	17866211	18024412	chr1:17866211-18024412	ARHGEF10L	1.80334	3.23037	1.07118	0.350437	0.624067	5.7361	3.98462	3.25288	4.42487	1.60336	4.19849	+
