LOC	Chromosome	Start	End	gene.features.locus	Genes	S1	S2	S8	S9	S11	S4	S5	S6	S7	S10	S12	V7
XLOC_029477	chr8	70584567	70747299	chr8:70584567-70747299	SLCO5A1	0	0.0231161	0.369086	0	0	0.0274955	0.0228033	0.500595	0	0.313993	0	-
XLOC_024102	chr5	111884886	111887041	chr5:111884886-111887041	NA	0.0627321	0.270029	0	0.919774	0	0.108735	0.0783367	0	0.259433	0.0827968	0.120377	.
XLOC_025283	chr6	56137688	56819426	chr6:56137688-56819426	RNU6-71P	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_029223	chr8	1919562	1955109	chr8:1919562-1955109	KBTBD11-OT1	0	0.0374423	0.106128	0	0.0553687	0.360455	0.0763977	0.202348	1.05513	0.159426	0	-
XLOC_019229	chr22	19117791	19132204	chr22:19117791-19132204	TSSK2	0.135072	0.255593	0.300371	0.386168	0.0713362	0.111376	0.540504	0.641036	0.186364	0.255771	0.610971	+
XLOC_004822	chr11	74459912	74660232	chr11:74459912-74660232	RNF169	1.39564	7.81193	3.30484	7.89011	6.27078	6.32739	1.35942	4.27053	6.18836	8.23398	6.54893	+
XLOC_014509	chr19	44598481	44617336	chr19:44598481-44617336	ZNF224	0.650947	5.18816	1.34736	4.69883	4.82001	3.97372	0.877914	3.77433	3.78159	5.56261	3.73668	+
XLOC_024994	chr6	19068773	19180711	chr6:19068773-19180711	LOC101928519	0	0.0360948	0	0	0	0	0	0	0	0	0	-
XLOC_006681	chr12	4593782	4647674	chr12:4593782-4647674	C12orf4	8.76371	2.87309	5.82603	3.59484	2.29124	1.43008	7.59196	0.601474	2.36376	3.59382	1.75815	-
XLOC_002742	chr1	83586220	83588631	chr1:83586220-83588631	NA	0	0.202678	0	0.254434	0.41013	0.0191893	0	0.0613423	0	0.544203	1.89641	.
XLOC_031476	chrX	47229998	47273098	chrX:47229998-47273098	ZNF157	0	0.140534	0	0.0870451	0.124578	0.0487326	0.0929724	0.128506	0.133143	0.120103	0	+
XLOC_015370	chr19	46984044	47123039	chr19:46984044-47123039	PPP5D1	0.34312	0.286739	0.0993691	0	0.809686	0.434996	0.413301	0	0.220128	0.306796	0.114566	-
XLOC_026474	chr6_mann_hap4	927717	943106	chr6_mann_hap4:927717-943106	MOG	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_003725	chr10	46733003	46762892	chr10:46733003-46762892	BMS1P5	0.284198	1.0783	0.255946	0.961007	1.28276	0.522942	0.0671059	0.814908	0.330925	0.378318	0.386915	-
XLOC_022683	chr4	76627999	76629043	chr4:76627999-76629043	NA	0	0.200987	0	0.125545	0.414215	0	0	0.17933	0	1.17439	0	.
XLOC_015644	chr19	19950214	19950923	chr19:19950214-19950923	NA	0	0.389286	0	2.41589	0	0.0879928	0	0	0	0	0	.
XLOC_030630	chr9	35658279	35665278	chr9:35658279-35665278	ARHGEF39	3.6285	0.962635	2.98016	0.67302	1.83541	2.13793	1.12961	2.04701	1.29793	1.67323	1.74483	-
XLOC_028618	chr7	77156548	77157126	chr7:77156548-77157126	NA	0	3.33915	0	1.88088	0.888874	0.485986	0.214175	0.517845	0.162431	1.56433	0	.
XLOC_032039	chrX	51242760	51250293	chrX:51242760-51250293	LINC01496	0	0.355375	0	0	0	0	0	0	0	0	0	-
XLOC_025654	chr6	14338024	14339727	chr6:14338024-14339727	NA	0	0.10296	0	0.193628	0.279136	0	0	2.69845	0	0	0.321748	.
XLOC_020575	chr3	191143312	191308145	chr3:191143312-191308145	LINCR-0002	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_027643	chr7	128577940	128697293	chr7:128577940-128697293	IRF5	33.6864	8.24854	20.8357	15.5377	18.5633	14.0003	31.8494	12.8118	10.8	14.5442	16.8544	+
XLOC_015053	chr19	13316875	13617274	chr19:13316875-13617274	CACNA1A	2.5611	0.379668	0.35495	0.50486	0.132327	0.129242	0.0933144	0.107523	0.129677	0.206536	0.415171	-
XLOC_027394	chr7	65338256	65424550	chr7:65338256-65424550	VKORC1L1	3.41515	2.33654	5.06875	3.42769	1.9459	1.45464	3.85062	1.35637	2.53356	4.9618	2.30532	+
XLOC_025399	chr6	109307495	109416222	chr6:109307495-109416222	SESN1	17.0895	15.8982	7.15985	13.9403	5.47213	16.5104	15.4413	23.0654	8.85795	24.3483	6.68026	-
XLOC_004911	chr11	103720633	103720708	chr11:103720633-103720708	MIR4693	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_008075	chr13	48870648	49057457	chr13:48870648-49057457	LPAR6	20.5877	11.7382	9.99876	4.31812	4.91829	7.57828	39.6991	8.49694	3.88303	3.08815	3.00313	-
XLOC_012511	chr17	79008946	79156964	chr17:79008946-79156964	AATK-AS1	0	0	0	0	0	0	0	0	0	0.0417757	0	+
XLOC_017196	chr2	165536694	165812035	chr2:165536694-165812035	SLC38A11	0	0.117791	0	0.0800444	0	0	0	0	0	0	0	-
XLOC_029734	chr8	145597703	145642583	chr8:145597703-145642583	CPSF1,MIR939,SLC39A4	35.616	21.7299	37.8506	26.5365	33.6754	33.2073	24.3045	17.3046	35.0503	33.3735	32.7152	-
XLOC_015430	chr19	49866986	49891338	chr19:49866986-49891338	DKKL1	0	0.119771	0	0.0092068	0	0.0958459	0.0567556	0	0.00696361	0.168188	0	-
XLOC_020547	chr3	184880688	184971886	chr3:184880688-184971886	EHHADH-AS1	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_016621	chr2	242716239	242744772	chr2:242716239-242744772	GAL3ST2	0.0551593	0.0656705	0	0.168197	0.197379	0.150544	0.0273162	0.758694	0	0.339256	0.616726	+
XLOC_013716	chr18	77866914	77898787	chr18:77866914-77898787	ADNP2	2.40692	5.66891	3.36275	4.27118	11.1909	10.991	3.52014	10.6846	5.51465	5.25342	12.2812	+
XLOC_004275	chr10	131585175	131599747	chr10:131585175-131599747	NA	0	0.577584	0.0334807	0.167466	0.627366	0.115715	0	0.080929	0.17029	0.597613	1.07257	.
XLOC_020494	chr3	170075472	170114778	chr3:170075472-170114778	SKIL	2.69097	5.98279	1.75073	4.98736	3.44206	4.32562	2.02812	5.03054	3.56238	6.23406	4.92422	+
XLOC_002961	chr1	221927942	221928787	chr1:221927942-221928787	NA	0	0.564176	0	0	0	0.0683969	0	2.73978	0	0	0	.
XLOC_006222	chr12	49740699	49747467	chr12:49740699-49747467	DNAJC22	0	0.0158548	0	0	0.0410311	0	0	0	0	0.017418	0.0477433	+
XLOC_031682	chrX	105412297	105452949	chrX:105412297-105452949	MUM1L1	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_023734	chr5	134784557	134788089	chr5:134784557-134788089	TIFAB	0.346735	0	0.407707	0	0	0.0367661	0.532083	0	0	0	0	-
XLOC_031671	chrX	102883205	102885993	chrX:102883205-102885993	TCEAL1	13.3965	1.93132	11.6448	5.47968	4.90719	6.76423	11.2661	8.40884	4.26545	6.73847	7.80703	+
XLOC_020905	chr3	71820805	71834581	chr3:71820805-71834581	PROK2	1.94534	5.57012	16.2817	0.195134	0	7.73869	0.782753	3.43218	18.4222	0.0811809	0	-
XLOC_015508	chr19	52654450	52674937	chr19:52654450-52674937	ZNF836	1.902	1.66458	1.10722	2.36807	1.16861	2.42087	2.32319	1.12728	1.76047	3.04849	2.21904	-
XLOC_006917	chr12	52211675	52225701	chr12:52211675-52225701	FIGNL2	0	0.184982	0.055638	0	0.236907	0.111722	0.0173846	0.125597	0.110297	0.0533859	0	-
XLOC_010849	chr16	22825859	22927659	chr16:22825859-22927659	HS3ST2	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_019604	chr22	29983974	29985456	chr22:29983974-29985456	NA	0	0	0.0904776	0.684137	0	0	0	0	0	0	0	-
XLOC_026912	chr6_qbl_hap6	826706	831021	chr6_qbl_hap6:826706-831021	UBD	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_017101	chr2	122095349	122494578	chr2:122095349-122494578	NIFK	18.7659	5.41028	18.637	7.13193	3.56748	9.83667	28.7775	5.84082	5.9157	8.67675	6.50083	-
XLOC_019869	chr3	238278	451097	chr3:238278-451097	CHL1	0	0	0.113049	0.0490447	0	0.026519	0	0	0	0	0	+
XLOC_027748	chr7	143792200	143793133	chr7:143792200-143793133	OR2A12	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_009509	chr14	106053440	106331757	chr14:106053440-106331757	NA	14.9773	0	1.03605	0	0	0	3.89249	0	0	0	0	.
XLOC_011062	chr16	68344876	68482409	chr16:68344876-68482409	PRMT7	22.8331	6.7919	18.3455	8.68061	7.50534	7.16318	19.7264	3.67055	8.5064	7.04072	7.30396	+
XLOC_022778	chr5	443333	473245	chr5:443333-473245	EXOC3	39.9178	15.9967	32.4244	15.5341	20.5197	18.2768	34.245	22.764	16.1231	14.8984	18.1139	+
XLOC_016200	chr2	120517206	120744061	chr2:120517206-120744061	PTPN4	1.52719	4.09734	3.04369	3.59548	1.71694	4.0127	5.4971	3.11779	2.06001	3.16272	1.75375	+
XLOC_023887	chr5	169618650	169626145	chr5:169618650-169626145	LINC01187	0	0.112765	0	0	0	0	0	0	0	0	0	-
XLOC_025489	chr6	138144806	138204451	chr6:138144806-138204451	LOC100130476	0.714501	1.38651	1.53987	0.586788	0.828738	4.99805	0.60394	14.2086	1.75753	1.07488	0.823964	-
XLOC_029008	chr8	73921083	74005507	chr8:73921083-74005507	TERF1	16.3635	5.1675	12.1508	5.9171	6.2412	6.4494	15.7778	3.72709	4.70729	6.57112	5.5307	+
